Time,Exercise,Reps,+lb,RIR,Rest (after set),
Feb-08 13:53,Assisted Pull-ups,8,-120,,,
Feb-08 13:56,Assisted Pull-ups,5,-80,,,
Feb-08 13:59,Assisted Pull-ups,6,-100,,,
Feb-08 14:02,Machine Rows,8,70,,,
Feb-08 14:06,Machine Rows,8,70,,,
Feb-08 14:10,Machine Rows,6,70,,,
Feb-08 14:14,BB Bicep Curls,8,60,,,
Feb-08 14:16,BB Bicep Curls,8,60,,,
Feb-08 14:21,BB Bicep Curls,7,60,,,
Feb-08 14:23,Machine Rear Delt Flyes,8,70,,,
Feb-08 14:25,Machine Rear Delt Flyes,7,100,,,
Feb-08 14:30,Machine Rear Delt Flyes,8,90,,,
Feb-09 16:55,Leg Press,6,190,,,
Feb-09 16:58,Leg Press,9,190,,,
Feb-09 17:03,Leg Press,9,190,,,
Feb-09 17:07,Leg Extensions,8,140,,,
Feb-09 17:11,Leg Extensions,9,140,,,
Feb-09 17:21,Leg Extensions,7,140,,,
Feb-11 16:47,Machine Flyes,12,130,,,
Feb-11 16:53,Machine Flyes,12,130,,,
Feb-11 16:57,Machine Flyes,9,130,,,
Feb-11 17:03,Machine Chest Press,5,110,,,
Feb-11 17:06,Machine Chest Press,8,90,,,
Feb-11 17:12,Machine Chest Press,6,90,,,
Feb-11 17:13,Overhead Cable Extension,10,25,,,
Feb-11 17:16,Overhead Cable Extension,12,35,,,
Feb-11 17:20,Overhead Cable Extension,13,35,,,
Feb-11 17:24,Overhead Cable Extension,4,50,,,
Feb-14 17:54,Assisted Pull-ups,7,-100,,,
Feb-14 17:57,Assisted Pull-ups,6,-100,,,
Feb-14 18:02,Assisted Pull-ups,4,-100,,,
Feb-14 18:04,Machine Rows,9,70,,,
Feb-14 18:08,Machine Rows,9,70,,,
Feb-14 18:13,Machine Rows,10,70,,,
Feb-14 18:17,Machine Front Pull Down,8,60,,,
Feb-14 18:20,Machine Front Pull Down,8,60,,,
Feb-14 18:23,Machine Front Pull Down,8,60,,,
Feb-14 18:26,BB Bicep Curls,9,60,,,
Feb-14 18:30,BB Bicep Curls,7,60,,,
Feb-14 18:34,BB Bicep Curls,6,60,,,
Feb-17 18:09,Leg Press,6,190,,,
Feb-17 18:14,Hamstring Curls,6,90,,,
Feb-17 18:18,Hamstring Curls,8,95,,,
Feb-17 18:24,Hamstring Curls,6,90,,,
Feb-17 18:24,Machine Rear Delt Flyes,14,90,,,
Feb-17 18:28,Machine Rear Delt Flyes,10,90,,,
Feb-17 18:32,Machine Rear Delt Flyes,10,90,,,
Feb-17 18:34,DB Lateral Raise,8,22.5,,,
Feb-17 18:38,DB Lateral Raise,8,22.5,,,
Feb-17 18:41,DB Lateral Raise,7,22.5,,,
Feb-18 20:29,Machine Chest Press,7,60,,,
Feb-18 20:36,Bench Press,4,135,,,
Feb-18 20:41,Bench Press,4,135,,,
Feb-18 20:45,Bench Press,3,135,,,
Feb-18 20:48,Machine Flyes,8,105,,,
Feb-18 20:52,Machine Flyes,10,120,,,
Feb-18 20:57,Machine Flyes,7,130,,,
Feb-18 20:58,Tricep Cable Extension,7,70,,,
Feb-18 21:02,Tricep Cable Extension,7,60,,,
Feb-18 21:04,Tricep Cable Extension,7,60,,,
Feb-18 21:07,Overhead Cable Extension,7,35,,,
Feb-18 21:10,Overhead Cable Extension,5,35,,,
Feb-20 17:30,Assisted Pull-ups,5,-100,,,
Feb-20 17:34,Assisted Pull-ups,4,-100,,,
Feb-20 17:38,Assisted Pull-ups,4,-110,,,
Feb-20 17:43,Assisted Pull-ups,4,-110,,,
Feb-20 17:46,Machine Front Pull Down,7,60,,,
Feb-20 17:50,Machine Front Pull Down,8,60,,,
Feb-20 17:53,Machine Front Pull Down,12,60,,,
Feb-20 17:57,Machine Rear Delt Flyes,8,100,,,
Feb-20 18:00,Machine Rear Delt Flyes,9,100,,,
Feb-20 18:02,Machine Rear Delt Flyes,7,100,,,
Feb-20 18:04,Machine Rows,6,70,,,
Feb-20 18:08,Machine Rows,8,70,,,
Feb-23 19:32,Assisted Pull-ups,7,-120,,,
Feb-23 19:35,Assisted Pull-ups,8,-110,,,
Feb-23 19:40,Assisted Pull-ups,8,-110,,,
Feb-23 19:44,Assisted Pull-ups,5,-110,,,
Feb-23 19:47,Machine Rows,8,70,,,
Feb-23 19:51,Machine Rows,7,70,,,
Feb-23 19:55,Machine Rows,7,70,,,
Feb-23 19:58,Machine Front Pull Down,8,65,,,
Feb-23 20:02,Machine Front Pull Down,10,65,,,
Feb-23 20:06,Machine Front Pull Down,8,65,,,
Feb-23 20:11,Machine Rear Delt Flyes,10,90,,,
Feb-23 20:14,Machine Rear Delt Flyes,7,100,,,
Feb-23 20:17,Machine Rear Delt Flyes,8,90,,,
Feb-23 20:20,Preacher Curls,6,85,,,
Feb-23 20:23,Preacher Curls,6,85,,,
Feb-23 20:30,Preacher Curls,3,85,,,
Feb-24 16:51,Machine Chest Press,10,60,,,
Feb-24 16:54,Machine Chest Press,6,70,,,
Feb-24 16:58,Machine Chest Press,5,70,,,
Feb-24 17:02,Machine Chest Press,7,60,,,
Feb-24 17:05,Tricep Cable Extension,7,70,,,
Feb-24 17:08,Tricep Cable Extension,7,70,,,
Feb-24 17:11,Tricep Cable Extension,5,70,,,
Feb-24 17:16,Overhead Cable Extension,16,30,,,
Feb-24 17:19,Overhead Cable Extension,8,42.5,,,
Feb-24 17:22,Overhead Cable Extension,4,42.5,,,
Feb-24 17:25,DB Lateral Raise,10,22.5,,,
Feb-24 17:28,DB Lateral Raise,7,22.5,,,
Feb-24 17:32,DB Lateral Raise,5,22.5,,,
Feb-26 16:51,Assisted Pull-ups,7,-120,,,
Feb-26 16:54,Assisted Pull-ups,7,-110,,,
Feb-26 16:58,Assisted Pull-ups,6,-110,,,
Feb-26 17:03,Assisted Pull-ups,5,-110,,,
Feb-26 17:06,Preacher Curls,10,70,,,
Feb-26 17:10,Machine Front Pull Down,12,65,,,
Feb-26 17:13,Machine Front Pull Down,12,65,,,
Feb-26 17:17,Machine Front Pull Down,10,65,,,
Feb-26 17:21,Machine Rows,7,70,,,
Feb-26 17:25,Machine Rows,6,70,,,
Feb-26 17:34,Machine Rows,6,70,,,
Feb-27 18:06,Bench Press,4,135,,,
Feb-27 18:10,Bench Press,5,135,,,
Feb-27 18:14,Bench Press,5,135,,,
Feb-27 18:19,Bench Press,4,135,,,
Feb-27 18:23,Machine Chest Press,5,65,,,
Feb-27 18:27,Machine Chest Press,10,50,,,
Feb-27 18:30,Machine Chest Press,7,50,,,
Feb-27 18:34,Overhead Cable Extension,9,42.5,,,
Feb-27 18:37,Overhead Cable Extension,9,42.5,,,
Feb-27 18:40,Overhead Cable Extension,6,42.5,,,
Feb-27 18:42,DB Lateral Raise,10,22.5,,,
Feb-27 18:45,DB Lateral Raise,10,22.5,,,
Feb-27 18:48,DB Lateral Raise,7,22.5,,,
Mar-02 20:18,Assisted Pull-ups,7,-110,,,
Mar-02 20:22,Assisted Pull-ups,8,-110,,,
Mar-02 20:26,Assisted Pull-ups,6,-110,,,
Mar-02 20:30,Assisted Pull-ups,5,-110,,,
Mar-02 20:33,Machine Front Pull Down,9,70,,,
Mar-02 20:37,Machine Front Pull Down,9,70,,,
Mar-02 20:40,Machine Front Pull Down,7,70,,,
Mar-02 20:44,Machine Rows,7,70,,,
Mar-02 20:48,Machine Rows,8,70,,,
Mar-02 20:53,Machine Rows,7,70,,,
Mar-02 20:56,BB Bicep Curls,10,60,,,
Mar-02 20:59,BB Bicep Curls,9,60,,,
Mar-02 21:02,BB Bicep Curls,7,60,,,
Mar-03 20:31,Bench Press,5,135,,,
Mar-03 20:35,Bench Press,5,135,,,
Mar-03 20:39,Bench Press,5,135,,,
Mar-03 20:43,Bench Press,4,135,,,
Mar-03 20:48,Machine Chest Press,10,55,,,
Mar-03 20:51,Machine Chest Press,8,55,,,
Mar-03 20:55,Machine Chest Press,6,55,,,
Mar-03 20:59,DB Lateral Raise,11,22.5,,,
Mar-03 21:02,DB Lateral Raise,10,22.5,,,
Mar-03 21:07,DB Lateral Raise,10,22.5,,,
Mar-03 21:08,Tricep Cable Extension,15,50,,,
Mar-03 21:12,Tricep Cable Extension,12,65,,,
Mar-03 21:15,Tricep Cable Extension,9,65,,,
Mar-03 21:19,Overhead Cable Extension,8,42.5,,,
Mar-05 17:46,Assisted Pull-ups,8,-110,,,
Mar-05 17:50,Assisted Pull-ups,8,-110,,,
Mar-05 17:54,Assisted Pull-ups,7,-110,,,
